area_sqkm,year
22.69,1999-02
34.13,1999-03
28.85,1999-04
30.54,1999-05
29.82,1999-07
48.44,1999-08
110.58,1999-09
113.67,1999-10
129.41,1999-11
160.05,1999-12
167.43,2000-01
165.76,2000-03
165.79,2000-05
165.52,2000-07
164.92,2000-08
164.18,2000-10
162.74,2000-11
165.32,2001-02
162.76,2001-03
160.17,2001-06
164.80,2001-07
164.08,2001-09
163.36,2001-10
162.53,2002-02
158.95,2002-07
159.61,2003-07
159.40,2003-08
158.36,2003-09
158.30,2003-10
154.58,2004-02
157.98,2004-03
161.66,2004-05
156.51,2004-06
157.91,2004-09
156.88,2005-01
158.02,2005-03
157.38,2005-07
155.94,2005-08
154.23,2005-09
155.84,2006-07
155.19,2006-08
153.64,2006-09
154.45,2006-12
155.87,2007-03
156.46,2007-04
155.54,2007-07
154.07,2007-08
152.25,2007-09
160.47,2008-03
152.44,2008-07
152.95,2009-03
153.77,2009-04
155.70,2009-05
154.95,2009-07
153.49,2009-08
155.37,2009-09
153.19,2009-11
155.09,2010-01
155.02,2010-06
153.16,2010-08
155.47,2010-10
154.11,2010-11
154.53,2011-01
155.83,2011-03
152.96,2011-05
154.34,2011-06
155.15,2011-07
153.75,2011-08
156.64,2011-09
149.48,2013-03
139.93,2013-04
152.70,2013-06
152.50,2013-07
153.96,2013-08
151.32,2013-09
150.64,2013-10
130.47,2013-11
142.36,2013-12
152.13,2014-04
126.80,2014-05
136.43,2014-06
142.94,2014-07
147.97,2014-08
146.13,2014-09
149.09,2014-10
153.28,2014-11
147.57,2014-12
154.45,2015-01
156.98,2015-04
158.65,2015-05
155.72,2015-06
155.38,2015-07
151.73,2015-08
150.13,2015-11
154.04,2016-03
152.00,2016-04
146.39,2016-05
144.99,2016-06
147.07,2016-07
147.99,2016-08
147.59,2016-09
142.44,2016-10
127.38,2016-11
135.25,2016-12
151.92,2017-01
151.70,2017-04
149.83,2017-05
128.98,2017-06
141.01,2017-07
142.34,2017-08
138.05,2017-09
124.28,2017-10
125.57,2017-12
132.70,2018-01
112.46,2018-02
125.84,2018-03
142.56,2018-04
145.07,2018-05
127.16,2018-06
138.15,2018-07
142.82,2018-08
140.08,2018-09
127.63,2018-10
148.33,2018-12
