area_sqkm,year
130.86,2023-04
141.67,2019-01
141.43,2019-02
146.39,2019-03
151.26,2019-04
144.51,2019-05
150.17,2019-06
147.85,2019-07
146.78,2019-08
146.18,2019-09
145.25,2019-10
144.80,2019-11
139.12,2020-02
147.82,2020-03
146.63,2020-04
136.92,2020-05
133.70,2020-06
138.36,2020-07
142.43,2020-08
143.29,2020-09
142.71,2020-10
142.09,2020-11
140.98,2020-12
131.64,2021-01
127.13,2021-02
125.68,2021-03
120.38,2021-04
118.28,2021-05
120.26,2021-06
120.48,2021-07
131.14,2021-08
128.77,2021-09
124.86,2021-10
133.25,2021-11
103.54,2021-12
39.55,2022-01
126.44,2022-02
153.89,2022-03
114.75,2022-04
124.13,2022-05
122.97,2022-06
123.41,2022-07
118.48,2022-08
120.30,2022-09
122.20,2022-10
124.49,2022-11
123.33,2023-01
122.13,2023-02
