date_min,date_max,water_surface_min,water_surface_max
1999-02,1999-12,"22,69","160,05"
2000-08,2000-01,"164,92","167,43"
2001-06,2001-09,"160,17","164,08"
2002-07,2002-02,"158,95","162,53"
2003-10,2003-07,"158,3","159,61"
2004-09,2004-05,"157,91","161,66"
2005-08,2005-07,"155,94","157,38"
2006-09,2006-07,"153,64","155,84"
2007-09,2007-04,"152,25","156,46"
2008-07,2008-03,"152,44","160,47"
2009-08,2009-05,"153,49","155,7"
2010-08,2010-06,"153,16","155,02"
2011-06,2011-09,"154,34","156,64"
2013-03,2013-08,"149,48","153,96"
2014-06,2014-04,"136,43","152,13"
2015-08,2015-05,"151,73","158,65"
2016-06,2016-03,"144,99","154,04"
2017-06,2017-04,"128,98","151,7"
2018-03,2018-12,"125,84","148,33"
2019-03,2019-06,"146,39","150,17"
2020-08,2020-04,"142,43","146,63"
2021-05,2021-11,"118,28","133,25"
2022-09,2022-03,"120,3","153,89"
2023-02,2023-04,"122,13","130,86"
