date,water level,,,,,,
2018-11-18,323.507,,,,,,
2018-12-19,324.264,,,,,,
2019-01-15,323.435,,,,,,
2019-02-11,323.236,,,,,,
2019-02-17,323.638,,,,,,
2019-03-10,324.336,,,,,,
2019-03-24,324.863,,,,,,
2019-04-06,324.557,,,,,,
2019-05-03,324.727,,,,,,
2019-05-19,325.175,,,,,,
2019-05-30,325.095,,,,,,
2019-06-23,325.59,,,,,,
2019-06-26,325.127,,,,,,
2019-07-23,325.311,,,,,,
2019-08-19,325.219,,,,,,
2019-09-15,325.172,,,,,,
2019-09-21,325.44,,,,,,
2019-10-12,325.249,,,,,,
2019-11-08,325.082,,,,,,
2019-11-17,325.488,,,,,,
2019-12-05,324.662,,,,,,
2019-12-21,325.38,,,,,,
2020-01-01,325.133,,,,,,
2020-01-28,325.277,,,,,,
2020-02-16,326.87,,,,,,
2020-02-24,325.298,,,,,,
2020-03-22,324.954,,,,,,
2020-04-18,325.036,,,,,,
2020-05-15,323.098,,,,,,
2020-05-16,323.172,,,,,,
2020-06-11,322.992,,,,,,
2020-06-20,323.22,,,,,,
2020-07-08,323.1,,,,,,
2020-08-04,322.766,,,,,,
2020-08-15,324.537,,,,,,
2020-08-31,324.571,,,,,,
2020-09-19,324.895,,,,,,
2020-09-27,324.593,,,,,,
2020-10-24,324.383,,,,,,
2020-11-14,324.156,,,,,,
2020-11-20,323.707,,,,,,
2020-12-17,324.292,,,,,,
2021-01-13,322.719,,,,,,
2021-02-09,322.265,,,,,,
2021-05-01,321.412,,,,,,
2021-05-15,321.751,,,,,,
2021-05-28,321.59,,,,,,
2021-06-18,322.018,,,,,,
2021-06-24,321.421,,,,,,
2021-08-13,322.897,,,,,,
2021-09-13,322.568,,,,,,
2021-09-17,322.772,,,,,,
2021-10-10,321.806,,,,,,
2021-11-06,322.572,,,,,,
2021-11-12,323.333,,,,,,
2021-12-03,323.159,,,,,,
2021-12-30,324.039,,,,,,
2022-01-26,323.512,,,,,,
2022-02-22,322.864,,,,,,
2022-03-18,323.643,,,,,,
2022-03-21,323.281,,,,,,\
2022-04-17,322.37,,,,,,
2022-05-13,321.286,,,,,,
2022-06-10,322.646,,,,,,
2022-06-16,322.976,,,,,,
2022-07-07,322.339,,,,,,
2022-08-03,321.524,,,,,,
2022-08-12,321.646,,,,,,
2022-08-30,321.508,,,,,,
2022-09-26,321.191,,,,,,
2022-10-23,321.402,,,,,,
2022-11-19,321.753,,,,,,
2022-12-16,321.9,,,,,,
2023-03-07,321.624,,,,,,
2023-03-07,321.639,,,,,,
2023-03-16,322.206,,,,,,
2023-04-03,322.771,,,,,,
2023-04-30,322.486,,,,,,
2023-05-11,322.676,,,,,,
2023-05-27,322.335,,,,,,
2023-06-15,322.838,,,,,,
2023-06-23,322.402,,,,,,
2023-07-20,322.176,,,,,,
2023-08-10,322.684,,,,,,
2023-08-16,322.538,,,,,,
2023-09-12,322.13,,,,,,
2023-10-09,322.121,,,,,,
2023-11-05,322.347,,,,,,
2023-12-02,321.958,,,,,,
2023-12-29,323.958,,,,,,
