"Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000_01_em","2001_09_em","2002_02_em","2003_07_em","2004_05_em","2005_07_em","2006_07_em","2007_04_em","2008_03_em","2009_05_em","2010_06_em","2011_09_em","2013_08_em","2014_04_em","2015_05_em","2016_03_em","2017_04_em","2018_12_em","2019_06_em","2020_04_em","2021_11_em","2022_03_em","2023_04_em","AlwaysEm","AlwaysSub","Affected","NeverSub","NeverEm"
3608,42,"low mound","Kirk Mughara","2",NA,84,100,98,100,100,100,100,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,0,0,1,0,0
889,4,"-","ReS_1","5",NA,92,100,100,100,100,100,100,94,100,100,100,100,100,86,100,100,100,95,100,100,100,100,100,0,0,1,0,0
940,6,"tell","Um Ruthah Tahtani","2",NA,23,26,25,28,26,28,28,28,28,29,28,26,28,33,28,28,30,30,30,26,48,29,51,0,0,1,0,0
961,6,"tell","Tell Aushariye","1",NA,70,100,86,100,95,100,100,100,100,100,100,100,100,100,100,100,100,91,100,98,98,100,99,0,0,1,0,0
434,1,"lower mound","Hammam Saghir N","2",NA,29,36,36,36,29,36,36,36,36,43,36,36,36,36,36,36,36,31,38,38,53,34,62,0,0,1,0,0
1157,8,"-","QNR_10","2",NA,69,81,87,84,81,82,87,83,82,87,85,84,87,87,83,54,85,90,85,88,88,81,92,0,0,1,0,0
695,2,"tell","Hammam Kebir","2",NA,28,36,40,44,40,40,44,44,44,44,40,40,44,52,40,40,48,44,37,48,53,40,68,0,0,1,0,0
876,5,"tell","Tell Qadahiye","2","based only on Corona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,1,0,0
437,1,"fortress","Qara Qozak Fortress","1",NA,80,100,100,100,100,100,100,100,100,100,100,100,100,100,93,100,100,97,100,100,100,100,100,0,0,1,0,0
483,1,"flat site","Sandaliye Kebir","2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
584,1,"-","QNR_14","2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
596,2,"-","Sandaliyeh Saghir Maqbara","2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1359,9,"flat site","Khirbet Meshreq","2",NA,6,6,8,8,8,8,10,7,9,9,9,8,9,12,8,9,10,15,15,16,24,10,24,0,0,1,0,0
461,1,"fortification","Qal'at Najm","1",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
617,2,"tell","Tell Nejem","2",NA,27,27,23,33,33,30,33,23,37,37,33,30,30,30,30,30,30,19,30,36,34,23,34,0,0,1,0,0
462,1,"tell","Tell Jurn Kebir","2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
411,1,"low mound","Al-Jermideh","2",NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
893,5,"tell and lower town","Khirbet Seraisat","2",NA,100,98,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,1,0,0
