Shape_Leng,Shape_Area,Type,Name,Certainty,Note,2000_08_em,2001_06_em,2002_07_em,2003_10_em,2004_09_em,2005_08_em,2006_09_em,2007_09_em,2008_07_em,2009_08_em,2010_08_em,2011_06_em,2013_03_em,2014_06_em,2015_08_em,2016_06_em,2017_06_em,2018_03_em,2019_03_em,2020_08_em,2021_05_em,2022_09_em,2023_02_em,AlwaysEm,AlwaysSub,Affected,NeverSub,NeverEm
411,1,low mound,Al-Jermideh,2,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
0,0,flat site,Ausheriye West,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
3045,50,Fortress,Boujak,1,NA,78,78,81,76,76,77,78,79,78,79,79,80,79,80,79,82,82,81,89,79,88,82,81,0,0,1,0,0
314,0,flat site,Dakhne,4,we do not have data on this site,83,83,92,83,75,92,83,83,83,83,83,83,92,83,92,100,92,100,100,100,100,100,100,0,0,1,0,0
547,2,low mound,Duluk (Aushariye),3,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,0,0
695,2,tell,Hammam Kebir,2,NA,32,48,44,44,44,48,52,56,52,52,56,48,56,68,48,60,68,50,45,48,76,71,63,0,0,1,0,0
434,1,low mound,Hammam Saghir N,2,NA,36,36,36,36,29,36,43,50,43,36,36,36,43,57,36,57,64,53,38,41,100,50,56,0,0,1,0,0
314,0,flat site,Hammam Saghir Spring,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,0,0,1,0,0
970,6,flat site,Hammam Seghir,3,NA,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,1,0,0
1035,6,tell + lower town,Jebel Ahmar,2,NA,30,31,32,28,28,28,28,28,28,28,30,30,31,35,32,45,4,43,38,40,49,51,51,0,0,1,0,0
980,5,rock-cut tombs,Jebel Hammam,3,NA,86,83,92,88,86,86,88,93,88,90,88,90,88,92,90,92,98,86,77,92,99,100,91,0,0,1,0,0
314,0,flat site,Jerf el Ahmar,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0
314,0,sherd scatters,Jurn Kebir East,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
314,0,flat site,Khirbet el Matbukh,4,NA,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,67,8,79,5,63,84,89,11,0,0,1,0,0
1359,9,flat site,Khirbet Meshreq,2,NA,9,11,10,7,8,10,12,10,12,9,10,9,12,15,11,15,14,25,15,18,29,33,27,0,0,1,0,0
893,5,tell + lower town,Khirbet Seraisat,2,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,0,0
314,0,flat site,Khirbet Seraisat S,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
3608,42,low mound,Kirk Mughara,2,NA,100,100,100,100,100,100,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,0,0,1,0,0
183,0,low mound,Meshirfe,5,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
110,0,flat site,Mishirfe-2,5,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
393,1,flat site,Mughar Seraisat,5,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,flat site,Near Kirk Mughara,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,flat site,Near LCP 15_1,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,flat site,Near LCP 15_2,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,11,100,100,100,100,100,100,100,100,100,100,0,0,1,0,0
314,0,flat site,Near Mughar Seraisat,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
795,4,flat site,No Name_17,2,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,0,0
461,1,Fortress,Qal'at Najm,1,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
437,1,Fortress,Qara Qozak Fortress,1,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,0,0
1157,8,flat site,QNR_10,2,NA,84,87,87,84,82,81,85,85,87,87,89,85,89,91,88,90,91,92,86,87,98,97,98,0,0,1,0,0
584,1,flat site,QNR_14,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
314,0,flat site,QNR_7,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0
314,0,tell,QNR_9,4,NA,100,100,100,100,100,100,100,100,100,100,100,100,62,100,100,100,100,100,84,100,100,100,100,0,0,1,0,0
2193,24,tell,Qubbah,2,NA,58,60,62,60,60,65,64,67,67,65,66,63,67,73,63,69,77,76,63,69,80,78,78,0,0,1,0,0
