"","fid","Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000.01_NA","2000.01_em","2000.01_sb","2001.09_NA","2001.09_em","2001.09_sb","2002.02_NA","2002.02_em","2002.02_sb","2003.07_em","2003.07_sb","2004.05_NA","2004.05_em","2004.05_sb","2005.07_NA","2005.07_em","2005.07_sb","2006.07_em","2006.07_sb","2007.04_NA","2007.04_em","2007.04_sb","2008.03_em","2008.03_sb","2009.05_NA","2009.05_em","2009.05_sb","2010.06_NA","2010.06_em","2010.06_sb","2011.09_NA","2011.09_em","2011.09_sb","2013.08_em","2013.08_sb","2014.04_NA","2014.04_em","2014.04_sb","2015.05_NA","2015.05_em","2015.05_sb","2016.03_NA","2016.03_em","2016.03_sb","2017.04_NA","2017.04_em","2017.04_sb","2018.12_em","2018.12_sb","2019.06_em","2019.06_sb","2020.04_em","2020.04_sb","2021.11_em","2021.11_sb","2022.03_em","2022.03_sb","2023.04_em","2023.04_sb"
"1",1,3608.31806212,42.54,"low mound","Kirk Mughara","2",NA,16,84,0,0,100,0,2,98,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,1,99,0,1,99,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"2",2,889.248610309,4.61,"-","ReS_1","5",NA,8,92,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,6,94,0,100,0,0,100,0,0,100,0,0,100,0,100,0,14,86,0,0,100,0,0,100,0,0,100,0,95,5,100,0,100,0,100,0,100,0,100,0
"3",3,940.965786397,6.17,"tell","Um Ruthah Tahtani","2",NA,3,23,74,0,26,74,0,25,75,28,72,0,26,74,0,28,72,28,72,0,28,72,28,72,0,29,71,0,28,72,0,26,74,28,72,0,33,67,0,28,72,0,28,72,0,30,70,30,70,30,70,26,74,48,52,29,71,51,49
"4",4,961.643378373,6.55,"tell","Tell Aushariye","1",NA,23,70,7,0,100,0,5,86,8,100,0,0,95,5,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,91,9,100,0,98,2,98,2,100,0,99,1
"5",5,434.02381865,1.27,"lower mound","Hammam Saghir N","2",NA,0,29,71,0,36,64,0,36,64,36,64,0,29,71,0,36,64,36,64,0,36,64,36,64,0,43,57,0,36,64,0,36,64,36,64,0,36,64,0,36,64,0,36,64,0,36,64,31,69,38,62,38,62,53,47,34,66,62,38
"6",6,1157.98882666,8.18,"-","QNR_10","2",NA,1,69,30,0,81,19,0,87,13,84,16,0,81,19,0,82,18,87,13,0,83,17,82,18,0,87,13,0,85,15,1,84,15,87,13,0,87,13,0,83,17,31,54,15,0,85,15,90,10,85,15,88,12,88,12,81,19,92,8
"7",7,695.291747985,2.43,"tell","Hammam Kebir","2",NA,0,28,72,0,36,64,0,40,60,44,56,0,40,60,0,40,60,44,56,0,44,56,44,56,0,44,56,0,40,60,0,40,60,44,56,0,52,48,0,40,60,0,40,60,0,48,52,44,56,37,63,48,52,53,47,40,60,68,32
"8",8,876.894607477,5.45,"tell","Tell Qadahiye","2","based only on Corona",0,0,100,0,0,100,5,0,95,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,13,87,0,100,13,87
"9",9,437.800234476,1.31,"fortress","Qara Qozak Fortress","1",NA,7,80,13,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,7,93,0,0,100,0,0,100,0,97,3,100,0,100,0,100,0,100,0,100,0
"10",10,483.240884177,1.43,"flat site","Sandaliye Kebir","2",NA,0,0,100,0,0,100,12,0,88,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"11",11,584.263089994,1.94,"-","QNR_14","2",NA,0,0,100,0,0,100,5,0,95,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"12",12,596.830109886,2.5,"-","Sandaliyeh Saghir Maqbara","2",NA,0,0,100,0,0,100,10,0,90,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"13",13,1359.12623048,9.22,"flat site","Khirbet Meshreq","2",NA,0,6,94,0,6,94,2,8,90,8,92,0,8,92,0,8,92,10,90,0,7,93,9,91,0,9,91,0,9,91,0,8,92,9,91,0,12,88,0,8,92,0,9,91,0,10,90,15,85,15,85,16,84,24,76,10,90,24,76
"14",14,461.865977525,1.5,"fortification","Qal'at Najm","1",NA,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
