"","fid","Shape_Leng","Shape_Area","Type","Name","Certainty","Note","2000.08_em","2000.08_sb","2001.06_NA","2001.06_em","2001.06_sb","2002.07_em","2002.07_sb","2003.10_NA","2003.10_em","2003.10_sb","2004.09_NA","2004.09_em","2004.09_sb","2005.08_NA","2005.08_em","2005.08_sb","2006.09_NA","2006.09_em","2006.09_sb","2007.09_NA","2007.09_em","2007.09_sb","2008.07_em","2008.07_sb","2009.08_em","2009.08_sb","2010.08_em","2010.08_sb","2011.06_em","2011.06_sb","2013.03_NA","2013.03_em","2013.03_sb","2014.06_em","2014.06_sb","2015.08_em","2015.08_sb","2016.06_NA","2016.06_em","2016.06_sb","2017.06_NA","2017.06_em","2017.06_sb","2018.03_em","2018.03_sb","2019.03_em","2019.03_sb","2020.08_em","2020.08_sb","2021.05_em","2021.05_sb","2022.09_em","2022.09_sb","2023.02_em","2023.02_sb"
"1",1,3608.31806212,42.54,"low mound","Kirk Mughara","2",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,6,94,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"2",2,889.248610309,4.61,"-","ReS_1","5",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,93,7,100,0,100,0,100,0,100,0
"3",3,940.965786397,6.17,"tell","Um Ruthah Tahtani","2",NA,28,72,0,29,71,28,72,0,28,72,0,28,72,0,28,72,0,30,70,0,39,61,39,61,30,70,30,70,30,70,0,41,59,49,51,28,72,0,39,61,0,64,36,65,35,32,68,38,62,68,32,77,23,78,22
"4",4,961.643378373,6.55,"tell","Tell Aushariye","1",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,96,4,100,0,100,0,100,0,100,0
"5",5,434.02381865,1.27,"lower mound","Hammam Saghir N","2",NA,36,64,0,36,64,36,64,0,36,64,0,29,71,0,36,64,0,43,57,0,50,50,43,57,36,64,36,64,36,64,0,43,57,57,43,36,64,0,57,43,0,64,36,53,47,38,62,41,59,100,0,50,50,56,44
"6",6,1157.98882666,8.18,"-","QNR_10","2",NA,84,16,0,87,13,87,13,0,84,16,0,82,18,0,81,19,0,85,15,0,85,15,87,13,87,13,89,11,85,15,0,89,11,91,9,88,12,0,90,10,0,91,9,92,8,86,14,87,13,98,2,97,3,98,2
"7",7,695.291747985,2.43,"tell","Hammam Kebir","2",NA,32,68,0,48,52,44,56,0,44,56,0,44,56,0,48,52,0,52,48,0,56,44,52,48,52,48,56,44,48,52,0,56,44,68,32,48,52,0,60,40,0,68,32,50,50,45,55,48,52,76,24,71,29,63,37
"8",8,876.894607477,5.45,"tell","Tell Qadahiye","2","based only on Corona",0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,4,96,0,100,0,100,14,86,11,89,25,75
"9",9,437.800234476,1.31,"fortress","Qara Qozak Fortress","1",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"10",10,483.240884177,1.43,"flat site","Sandaliye Kebir","2",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,69,0,31,11,89,0,100,0,100,14,86,14,86,17,83
"11",11,584.263089994,1.94,"-","QNR_14","2",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"12",12,596.830109886,2.5,"-","Sandaliyeh Saghir Maqbara","2",NA,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100
"13",13,1359.12623048,9.22,"flat site","Khirbet Meshreq","2",NA,9,91,0,11,89,10,90,0,7,93,0,8,92,0,10,90,0,12,88,0,10,90,12,88,9,91,10,90,9,91,0,12,88,15,85,11,89,0,15,85,15,14,72,25,75,15,85,18,82,29,71,33,67,27,73
"14",14,461.865977525,1.5,"fortification","Qal'at Najm","1",NA,100,0,0,100,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,0,100,0,100,0,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0
"15",15,617.265804062,2.82,"tell","Tell Nejem","2",NA,33,67,0,33,67,37,63,0,27,73,0,30,70,0,33,67,0,30,70,0,30,70,30,70,33,67,30,70,33,67,0,33,67,33,67,30,70,0,37,63,0,37,63,51,49,37,63,31,69,59,41,36,64,37,63
